ID,keyPressed,keyState,timestamp
0,t,DOWN,2017-05-16 10:56:59.002
1,t,UP,2017-05-16 10:56:59.565
2,h,DOWN,2017-05-16 10:57:00.431
3,h,UP,2017-05-16 10:57:00.516
4,i,DOWN,2017-05-16 10:57:00.752
5,i,UP,2017-05-16 10:57:00.809
6,s,DOWN,2017-05-16 10:57:00.969
7,s,UP,2017-05-16 10:57:01.066
8, ,DOWN,2017-05-16 10:57:01.130
9, ,UP,2017-05-16 10:57:01.175
10,i,DOWN,2017-05-16 10:57:07.227
11,i,UP,2017-05-16 10:57:07.284
12,s,DOWN,2017-05-16 10:57:07.419
13,s,UP,2017-05-16 10:57:07.516
14, ,DOWN,2017-05-16 10:57:07.564
15, ,UP,2017-05-16 10:57:07.628
16,a,DOWN,2017-05-16 10:57:07.764
17,a,UP,2017-05-16 10:57:07.871
18, ,DOWN,2017-05-16 10:57:07.889
19, ,UP,2017-05-16 10:57:07.946
20,t,DOWN,2017-05-16 10:57:08.663
21,t,UP,2017-05-16 10:57:08.712
22,e,DOWN,2017-05-16 10:57:08.945
23,e,UP,2017-05-16 10:57:09.026
24,s,DOWN,2017-05-16 10:57:09.186
25,s,UP,2017-05-16 10:57:09.267
26,t,DOWN,2017-05-16 10:57:09.523
27,t,UP,2017-05-16 10:57:09.580
28, ,DOWN,2017-05-16 10:57:09.772
29, ,UP,2017-05-16 10:57:09.886
30,t,DOWN,2017-05-16 10:57:10.811
31,t,UP,2017-05-16 10:57:10.867
32,o,DOWN,2017-05-16 10:57:10.923
33,o,UP,2017-05-16 10:57:10.988
34, ,DOWN,2017-05-16 10:57:11.367
35, ,UP,2017-05-16 10:57:11.392
36,s,DOWN,2017-05-16 10:57:11.713
37,s,UP,2017-05-16 10:57:11.819
38,e,DOWN,2017-05-16 10:57:11.970
39,e,UP,2017-05-16 10:57:12.052
40,e,DOWN,2017-05-16 10:57:12.139
41,e,UP,2017-05-16 10:57:12.235
42, ,DOWN,2017-05-16 10:57:12.255
43, ,UP,2017-05-16 10:57:12.359
44,i,DOWN,2017-05-16 10:57:13.248
45,i,UP,2017-05-16 10:57:13.313
46,f,DOWN,2017-05-16 10:57:13.465
47,f,UP,2017-05-16 10:57:13.505
48, ,DOWN,2017-05-16 10:57:13.642
49, ,UP,2017-05-16 10:57:13.724
50,t,DOWN,2017-05-16 10:57:13.859
51,t,UP,2017-05-16 10:57:13.964
52,h,DOWN,2017-05-16 10:57:14.011
53,h,UP,2017-05-16 10:57:14.101
54,r,DOWN,2017-05-16 10:57:14.220
55,r,UP,2017-05-16 10:57:14.294
56, ,DOWN,2017-05-16 10:57:14.365
57, ,UP,2017-05-16 10:57:14.465
58,OTHER,DOWN,2017-05-16 10:57:17.167
59,OTHER,UP,2017-05-16 10:57:17.225
60,OTHER,DOWN,2017-05-16 10:57:17.351
61,OTHER,UP,2017-05-16 10:57:17.392
62,e,DOWN,2017-05-16 10:57:18.385
63,e,UP,2017-05-16 10:57:18.466
64, ,DOWN,2017-05-16 10:57:18.586
65, ,UP,2017-05-16 10:57:18.646
66,w,DOWN,2017-05-16 10:57:19.176
67,w,UP,2017-05-16 10:57:19.287
68,o,DOWN,2017-05-16 10:57:19.512
69,o,UP,2017-05-16 10:57:19.585
70,r,DOWN,2017-05-16 10:57:19.744
71,r,UP,2017-05-16 10:57:19.834
72,d,DOWN,2017-05-16 10:57:20.116
73,d,UP,2017-05-16 10:57:20.213
74,s,DOWN,2017-05-16 10:57:20.325
75,s,UP,2017-05-16 10:57:20.446
76, ,DOWN,2017-05-16 10:57:21.281
77, ,UP,2017-05-16 10:57:21.349
78,t,DOWN,2017-05-16 10:57:22.429
79,t,UP,2017-05-16 10:57:22.502
80,h,DOWN,2017-05-16 10:57:22.614
81,h,UP,2017-05-16 10:57:22.702
82,a,DOWN,2017-05-16 10:57:22.758
83,a,UP,2017-05-16 10:57:22.862
84,a,UP,2017-05-16 10:57:22.863
85,s,DOWN,2017-05-16 10:57:22.863
86,s,UP,2017-05-16 10:57:22.865
87,t,DOWN,2017-05-16 10:57:23.449
88,t,UP,2017-05-16 10:57:23.515
89, ,DOWN,2017-05-16 10:57:23.594
90, ,UP,2017-05-16 10:57:23.650
91,OTHER,DOWN,2017-05-16 10:57:25.597
92,OTHER,UP,2017-05-16 10:57:25.663
93,OTHER,DOWN,2017-05-16 10:57:25.758
94,OTHER,UP,2017-05-16 10:57:25.839
95,OTHER,DOWN,2017-05-16 10:57:26.181
96,OTHER,UP,2017-05-16 10:57:26.235
97,t,DOWN,2017-05-16 10:57:26.980
98,t,UP,2017-05-16 10:57:27.059
99, ,DOWN,2017-05-16 10:57:27.147
100, ,UP,2017-05-16 10:57:27.238
101,i,DOWN,2017-05-16 10:57:30.290
102,i,UP,2017-05-16 10:57:30.355
103, ,DOWN,2017-05-16 10:57:30.563
104, ,UP,2017-05-16 10:57:30.662
105,t,DOWN,2017-05-16 10:57:31.393
106,t,UP,2017-05-16 10:57:31.498
107,y,DOWN,2017-05-16 10:57:31.618
108,y,UP,2017-05-16 10:57:31.692
109,p,DOWN,2017-05-16 10:57:31.875
110,p,UP,2017-05-16 10:57:31.948
111,r,DOWN,2017-05-16 10:57:32.012
112,r,UP,2017-05-16 10:57:32.133
113, ,DOWN,2017-05-16 10:57:32.245
114, ,UP,2017-05-16 10:57:32.302
115,OTHER,DOWN,2017-05-16 10:57:33.803
116,OTHER,UP,2017-05-16 10:57:33.884
117,OTHER,DOWN,2017-05-16 10:57:33.955
118,OTHER,UP,2017-05-16 10:57:34.044
119,e,DOWN,2017-05-16 10:57:34.148
120,e,UP,2017-05-16 10:57:34.245
121, ,DOWN,2017-05-16 10:57:34.397
122, ,UP,2017-05-16 10:57:34.483
123,a,DOWN,2017-05-16 10:57:35.709
124,a,UP,2017-05-16 10:57:35.830
125,r,DOWN,2017-05-16 10:57:36.152
126,r,UP,2017-05-16 10:57:36.241
127,e,DOWN,2017-05-16 10:57:36.377
128,e,UP,2017-05-16 10:57:36.458
129, ,DOWN,2017-05-16 10:57:36.586
130, ,UP,2017-05-16 10:57:36.663
131,u,DOWN,2017-05-16 10:57:37.199
132,u,UP,2017-05-16 10:57:37.280
133,n,DOWN,2017-05-16 10:57:37.512
134,n,UP,2017-05-16 10:57:37.601
135,i,DOWN,2017-05-16 10:57:37.858
136,i,UP,2017-05-16 10:57:37.899
137,q,DOWN,2017-05-16 10:57:38.228
138,q,UP,2017-05-16 10:57:38.341
139,u,DOWN,2017-05-16 10:57:38.776
140,u,UP,2017-05-16 10:57:38.832
141,e,DOWN,2017-05-16 10:57:38.961
142,e,UP,2017-05-16 10:57:39.082
143, ,DOWN,2017-05-16 10:57:39.178
144, ,UP,2017-05-16 10:57:39.254
145,t,DOWN,2017-05-16 10:57:39.928
146,t,UP,2017-05-16 10:57:40.048
147,o,DOWN,2017-05-16 10:57:40.081
148,o,UP,2017-05-16 10:57:40.161
149, ,DOWN,2017-05-16 10:57:40.747
150, ,UP,2017-05-16 10:57:40.825
151,m,DOWN,2017-05-16 10:57:41.045
152,m,UP,2017-05-16 10:57:41.134
153,e,DOWN,2017-05-16 10:57:41.303
154,e,UP,2017-05-16 10:57:41.384
155,.,DOWN,2017-05-16 10:57:42.376
156,.,UP,2017-05-16 10:57:42.477
157, ,DOWN,2017-05-16 10:57:42.932
158, ,UP,2017-05-16 10:57:43.005
159,t,DOWN,2017-05-16 10:57:43.391
160,t,UP,2017-05-16 10:57:43.522
161,h,DOWN,2017-05-16 10:57:43.540
162,h,UP,2017-05-16 10:57:43.586
163,e,DOWN,2017-05-16 10:57:43.697
164,e,UP,2017-05-16 10:57:43.810
165,r,DOWN,2017-05-16 10:57:43.914
166,r,UP,2017-05-16 10:57:44.003
167,e,DOWN,2017-05-16 10:57:44.123
168,e,UP,2017-05-16 10:57:44.203
169, ,DOWN,2017-05-16 10:57:44.300
170, ,UP,2017-05-16 10:57:44.391
171,a,DOWN,2017-05-16 10:57:44.735
172,a,UP,2017-05-16 10:57:44.832
173,r,DOWN,2017-05-16 10:57:45.339
174,r,UP,2017-05-16 10:57:45.428
175,e,DOWN,2017-05-16 10:57:45.580
176,e,UP,2017-05-16 10:57:45.636
177, ,DOWN,2017-05-16 10:57:45.749
178, ,UP,2017-05-16 10:57:45.831
179,t,DOWN,2017-05-16 10:57:46.901
180,t,UP,2017-05-16 10:57:47.007
181,w,DOWN,2017-05-16 10:57:47.337
182,w,UP,2017-05-16 10:57:47.410
183,o,DOWN,2017-05-16 10:57:47.658
184,o,UP,2017-05-16 10:57:47.716
185, ,DOWN,2017-05-16 10:57:48.174
186, ,UP,2017-05-16 10:57:48.245
187,s,DOWN,2017-05-16 10:57:48.837
188,s,UP,2017-05-16 10:57:48.917
189,e,DOWN,2017-05-16 10:57:49.062
190,e,UP,2017-05-16 10:57:49.151
