ID,keyPressed,keyState,timestamp
0,t,DOWN,2017-05-16 11:34:13.367
1,t,UP,2017-05-16 11:34:13.453
2,h,DOWN,2017-05-16 11:34:13.662
3,h,UP,2017-05-16 11:34:13.796
4,i,DOWN,2017-05-16 11:34:14.147
5,i,UP,2017-05-16 11:34:14.229
6,s,DOWN,2017-05-16 11:34:14.418
7,s,UP,2017-05-16 11:34:14.517
8, ,DOWN,2017-05-16 11:34:15.462
9, ,UP,2017-05-16 11:34:15.492
10,i,DOWN,2017-05-16 11:34:16.113
11,i,UP,2017-05-16 11:34:16.157
12,s,DOWN,2017-05-16 11:34:16.428
13,s,UP,2017-05-16 11:34:16.523
14, ,DOWN,2017-05-16 11:34:16.558
15, ,UP,2017-05-16 11:34:16.612
16,a,DOWN,2017-05-16 11:34:16.756
17,a,UP,2017-05-16 11:34:16.862
18, ,DOWN,2017-05-16 11:34:16.890
19, ,UP,2017-05-16 11:34:16.961
20,t,DOWN,2017-05-16 11:34:17.605
21,t,UP,2017-05-16 11:34:17.667
22,w,DOWN,2017-05-16 11:34:17.810
23,w,UP,2017-05-16 11:34:17.907
24,s,DOWN,2017-05-16 11:34:18.022
25,s,UP,2017-05-16 11:34:18.118
26,t,DOWN,2017-05-16 11:34:18.224
27,t,UP,2017-05-16 11:34:18.314
28, ,DOWN,2017-05-16 11:34:18.318
29, ,UP,2017-05-16 11:34:18.388
30,t,DOWN,2017-05-16 11:34:18.482
31,t,UP,2017-05-16 11:34:18.578
32,o,DOWN,2017-05-16 11:34:18.597
33,o,UP,2017-05-16 11:34:18.647
34,OTHER,DOWN,2017-05-16 11:34:19.222
35,OTHER,UP,2017-05-16 11:34:19.283
36,OTHER,DOWN,2017-05-16 11:34:19.370
37,OTHER,UP,2017-05-16 11:34:19.460
38,OTHER,DOWN,2017-05-16 11:34:19.557
39,OTHER,UP,2017-05-16 11:34:19.629
40,OTHER,DOWN,2017-05-16 11:34:19.723
41,OTHER,UP,2017-05-16 11:34:19.828
42,OTHER,DOWN,2017-05-16 11:34:19.926
43,OTHER,UP,2017-05-16 11:34:20.009
44,OTHER,DOWN,2017-05-16 11:34:20.217
45,OTHER,UP,2017-05-16 11:34:20.283
46,e,DOWN,2017-05-16 11:34:20.785
47,e,UP,2017-05-16 11:34:20.872
48,s,DOWN,2017-05-16 11:34:20.994
49,s,UP,2017-05-16 11:34:21.106
50,t,DOWN,2017-05-16 11:34:21.243
51,t,UP,2017-05-16 11:34:21.339
52, ,DOWN,2017-05-16 11:34:21.397
53, ,UP,2017-05-16 11:34:21.472
54,t,DOWN,2017-05-16 11:34:21.870
55,o,DOWN,2017-05-16 11:34:21.956
56,t,UP,2017-05-16 11:34:21.967
57,o,UP,2017-05-16 11:34:22.021
58, ,DOWN,2017-05-16 11:34:22.233
59, ,UP,2017-05-16 11:34:22.325
60,s,DOWN,2017-05-16 11:34:22.778
61,s,UP,2017-05-16 11:34:22.904
62,e,DOWN,2017-05-16 11:34:23.114
63,e,UP,2017-05-16 11:34:23.218
64,e,DOWN,2017-05-16 11:34:23.286
65,e,UP,2017-05-16 11:34:23.395
66, ,DOWN,2017-05-16 11:34:23.439
67, ,UP,2017-05-16 11:34:23.492
68,i,DOWN,2017-05-16 11:34:24.007
69,i,UP,2017-05-16 11:34:24.061
70,f,DOWN,2017-05-16 11:34:24.340
71,f,UP,2017-05-16 11:34:24.435
72, ,DOWN,2017-05-16 11:34:24.490
73, ,UP,2017-05-16 11:34:24.564
74,t,DOWN,2017-05-16 11:34:25.434
75,t,UP,2017-05-16 11:34:25.537
76,h,DOWN,2017-05-16 11:34:25.717
77,h,UP,2017-05-16 11:34:25.756
78,e,DOWN,2017-05-16 11:34:26.167
79,e,UP,2017-05-16 11:34:26.239
80, ,DOWN,2017-05-16 11:34:26.326
81, ,UP,2017-05-16 11:34:26.409
82,w,DOWN,2017-05-16 11:34:26.636
83,w,UP,2017-05-16 11:34:26.722
84,o,DOWN,2017-05-16 11:34:26.895
85,o,UP,2017-05-16 11:34:26.985
86,r,DOWN,2017-05-16 11:34:27.178
87,r,UP,2017-05-16 11:34:27.251
88,d,DOWN,2017-05-16 11:34:27.444
89,d,UP,2017-05-16 11:34:27.525
90,s,DOWN,2017-05-16 11:34:27.640
91,s,UP,2017-05-16 11:34:27.735
92, ,DOWN,2017-05-16 11:34:27.754
93, ,UP,2017-05-16 11:34:27.816
94,t,DOWN,2017-05-16 11:34:28.861
95,t,UP,2017-05-16 11:34:28.939
96,h,DOWN,2017-05-16 11:34:29.087
97,h,UP,2017-05-16 11:34:29.168
98,a,DOWN,2017-05-16 11:34:29.265
99,a,UP,2017-05-16 11:34:29.368
100,t,DOWN,2017-05-16 11:34:29.516
101,t,UP,2017-05-16 11:34:29.597
102, ,DOWN,2017-05-16 11:34:29.617
