ID,keyPressed,keyState,timestamp
0,t,DOWN,2017-05-15 16:09:52.543
1,t,UP,2017-05-15 16:09:52.649
2,h,DOWN,2017-05-15 16:09:52.857
3,h,UP,2017-05-15 16:09:52.927
4,i,DOWN,2017-05-15 16:09:53.033
5,i,UP,2017-05-15 16:09:53.112
6,s,DOWN,2017-05-15 16:09:53.182
7,s,UP,2017-05-15 16:09:53.287
8, ,DOWN,2017-05-15 16:09:53.301
9, ,UP,2017-05-15 16:09:53.385
10,i,DOWN,2017-05-15 16:09:53.517
11,i,UP,2017-05-15 16:09:53.588
12,s,DOWN,2017-05-15 16:09:53.656
13,s,UP,2017-05-15 16:09:53.739
14, ,DOWN,2017-05-15 16:09:53.760
15, ,UP,2017-05-15 16:09:53.866
16,t,DOWN,2017-05-15 16:09:53.901
17,t,UP,2017-05-15 16:09:53.981
18,h,DOWN,2017-05-15 16:09:54.028
19,h,UP,2017-05-15 16:09:54.110
20,e,DOWN,2017-05-15 16:09:54.181
21,e,UP,2017-05-15 16:09:54.248
22, ,DOWN,2017-05-15 16:09:54.282
23, ,UP,2017-05-15 16:09:54.367
24,t,DOWN,2017-05-15 16:09:55.236
25,t,UP,2017-05-15 16:09:55.318
26,e,DOWN,2017-05-15 16:09:55.426
27,e,UP,2017-05-15 16:09:55.504
28,s,DOWN,2017-05-15 16:09:55.642
29,s,UP,2017-05-15 16:09:55.712
30,t,DOWN,2017-05-15 16:09:55.746
31,t,UP,2017-05-15 16:09:55.829
32, ,DOWN,2017-05-15 16:09:55.981
33, ,UP,2017-05-15 16:09:56.054
34,t,DOWN,2017-05-15 16:09:56.969
35,t,UP,2017-05-15 16:09:57.028
36,o,DOWN,2017-05-15 16:09:57.136
37,o,UP,2017-05-15 16:09:57.215
38, ,DOWN,2017-05-15 16:09:57.367
39, ,UP,2017-05-15 16:09:57.463
40,s,DOWN,2017-05-15 16:09:57.521
41,s,UP,2017-05-15 16:09:57.616
42,e,DOWN,2017-05-15 16:09:57.756
43,e,UP,2017-05-15 16:09:57.840
44,e,DOWN,2017-05-15 16:09:57.957
45,e,UP,2017-05-15 16:09:58.015
46, ,DOWN,2017-05-15 16:09:58.100
