ID,keyPressed,keyState,timestamp,userID
0,t,DOWN,2017-05-15 15:51:12.744,55
1,t,UP,2017-05-15 15:51:12.900,55
2,h,DOWN,2017-05-15 15:51:13.056,55
3,h,UP,2017-05-15 15:51:13.166,55
4,i,DOWN,2017-05-15 15:51:13.540,55
5,i,UP,2017-05-15 15:51:13.634,55
6,s,DOWN,2017-05-15 15:51:13.790,55
7,s,UP,2017-05-15 15:51:13.914,55
8,SPACE,DOWN,2017-05-15 15:51:14.351,55
9,SPACE,UP,2017-05-15 15:51:14.476,55
10,i,DOWN,2017-05-15 15:51:14.897,55
11,i,UP,2017-05-15 15:51:15.006,55
12,s,DOWN,2017-05-15 15:51:15.069,55
13,s,UP,2017-05-15 15:51:15.225,55
14,SPACE,DOWN,2017-05-15 15:51:15.287,55
15,SPACE,UP,2017-05-15 15:51:15.381,55
16,a,DOWN,2017-05-15 15:51:15.521,55
17,a,UP,2017-05-15 15:51:15.662,55
18,SPACE,DOWN,2017-05-15 15:51:15.896,55
19,SPACE,UP,2017-05-15 15:51:15.989,55
20,t,DOWN,2017-05-15 15:51:16.426,55
21,t,UP,2017-05-15 15:51:16.520,55
22,e,DOWN,2017-05-15 15:51:16.582,55
23,e,UP,2017-05-15 15:51:16.691,55
24,s,DOWN,2017-05-15 15:51:16.800,55
25,s,UP,2017-05-15 15:51:16.910,55
26,t,DOWN,2017-05-15 15:51:16.972,55
27,t,UP,2017-05-15 15:51:17.097,55
28,SPACE,DOWN,2017-05-15 15:51:17.190,55
29,SPACE,UP,2017-05-15 15:51:17.284,55
30,t,DOWN,2017-05-15 15:51:17.908,55
31,t,UP,2017-05-15 15:51:18.017,55
32,o,DOWN,2017-05-15 15:51:18.095,55
33,o,UP,2017-05-15 15:51:18.220,55
34,SPACE,DOWN,2017-05-15 15:51:18.251,55
35,SPACE,UP,2017-05-15 15:51:18.360,55
36,s,DOWN,2017-05-15 15:51:18.438,55
37,s,UP,2017-05-15 15:51:18.579,55
38,e,DOWN,2017-05-15 15:51:18.657,55
39,e,UP,2017-05-15 15:51:18.766,55
40,e,DOWN,2017-05-15 15:51:18.844,55
41,e,UP,2017-05-15 15:51:18.922,55
42,SPACE,DOWN,2017-05-15 15:51:19.000,55
43,SPACE,UP,2017-05-15 15:51:19.109,55
44,i,DOWN,2017-05-15 15:51:19.421,55
45,i,UP,2017-05-15 15:51:19.530,55
46,f,DOWN,2017-05-15 15:51:19.608,55
47,f,UP,2017-05-15 15:51:19.733,55
48,SPACE,DOWN,2017-05-15 15:51:19.749,55
49,SPACE,UP,2017-05-15 15:51:19.827,55
50,t,DOWN,2017-05-15 15:51:19.905,55
51,t,UP,2017-05-15 15:51:19.998,55
52,h,DOWN,2017-05-15 15:51:20.045,55
53,h,UP,2017-05-15 15:51:20.123,55
54,e,DOWN,2017-05-15 15:51:20.186,55
