ID,keyPressed,keyState,timestamp,userID
0,t,DOWN,2017-05-16 17:08:28.090,59
1,t,UP,2017-05-16 17:08:28.203,59
2,OTHER,DOWN,2017-05-16 17:08:29.745,59
3,OTHER,UP,2017-05-16 17:08:29.854,59
4,r,DOWN,2017-05-16 17:08:30.105,59
5,r,UP,2017-05-16 17:08:30.204,59
6,t,DOWN,2017-05-16 17:08:30.204,59
7,t,UP,2017-05-16 17:08:30.241,59
8,y,DOWN,2017-05-16 17:08:30.242,59
9,y,UP,2017-05-16 17:08:30.267,59
10,h,DOWN,2017-05-16 17:08:30.267,59
11,h,UP,2017-05-16 17:08:30.392,59
12,g,DOWN,2017-05-16 17:08:30.392,59
13,g,UP,2017-05-16 17:08:30.422,59
14,r,DOWN,2017-05-16 17:08:30.422,59
15,r,UP,2017-05-16 17:08:30.472,59
16,e,DOWN,2017-05-16 17:08:30.472,59
17,e,UP,2017-05-16 17:08:30.674,59
18,r,DOWN,2017-05-16 17:08:30.674,59
19,r,UP,2017-05-16 17:08:30.791,59
20,t,DOWN,2017-05-16 17:08:30.791,59
21,t,UP,2017-05-16 17:08:30.807,59
22,OTHER,DOWN,2017-05-16 17:08:31.495,59
23,OTHER,UP,2017-05-16 17:08:31.652,59
24,t,DOWN,2017-05-16 17:08:32.390,59
25,t,UP,2017-05-16 17:08:32.487,59
26,h,DOWN,2017-05-16 17:08:32.557,59
27,h,UP,2017-05-16 17:08:32.678,59
28,e,DOWN,2017-05-16 17:08:32.788,59
29,e,UP,2017-05-16 17:08:32.907,59
30,r,DOWN,2017-05-16 17:08:32.966,59
31,r,UP,2017-05-16 17:08:33.062,59
32,e,DOWN,2017-05-16 17:08:33.122,59
33,e,UP,2017-05-16 17:08:33.205,59
34,OTHER,DOWN,2017-05-16 17:08:34.145,59
35,OTHER,UP,2017-05-16 17:08:34.241,59
36,OTHER,DOWN,2017-05-16 17:08:34.289,59
37,OTHER,UP,2017-05-16 17:08:34.397,59
38,OTHER,DOWN,2017-05-16 17:08:34.714,59
39,OTHER,UP,2017-05-16 17:08:34.822,59
40,i,DOWN,2017-05-16 17:08:35.120,59
41,i,UP,2017-05-16 17:08:35.228,59
42,s,DOWN,2017-05-16 17:08:35.443,59
43,s,UP,2017-05-16 17:08:35.552,59
44, ,DOWN,2017-05-16 17:08:35.579,59
45, ,UP,2017-05-16 17:08:35.673,59
46,i,DOWN,2017-05-16 17:08:36.141,59
47,i,UP,2017-05-16 17:08:36.250,59
48,s,DOWN,2017-05-16 17:08:36.343,59
49,s,UP,2017-05-16 17:08:36.453,59
50, ,DOWN,2017-05-16 17:08:36.476,59
51, ,UP,2017-05-16 17:08:36.564,59
52,a,DOWN,2017-05-16 17:08:37.042,59
53,a,UP,2017-05-16 17:08:37.162,59
54, ,DOWN,2017-05-16 17:08:37.221,59
55, ,UP,2017-05-16 17:08:37.308,59
56,t,DOWN,2017-05-16 17:08:38.246,59
57,t,UP,2017-05-16 17:08:38.355,59
58,e,DOWN,2017-05-16 17:08:38.485,59
59,e,UP,2017-05-16 17:08:38.558,59
60,s,DOWN,2017-05-16 17:08:38.689,59
61,s,UP,2017-05-16 17:08:38.774,59
62,t,DOWN,2017-05-16 17:08:38.870,59
63,t,UP,2017-05-16 17:08:38.966,59
64,v,DOWN,2017-05-16 17:08:39.168,59
65,v,UP,2017-05-16 17:08:39.337,59
66,t,DOWN,2017-05-16 17:08:39.945,59
67,t,UP,2017-05-16 17:08:40.030,59
68,o,DOWN,2017-05-16 17:08:40.232,59
69,o,UP,2017-05-16 17:08:40.353,59
70,b,DOWN,2017-05-16 17:08:40.520,59
71,b,UP,2017-05-16 17:08:40.617,59
72,l,DOWN,2017-05-16 17:08:41.054,59
73,l,UP,2017-05-16 17:08:41.163,59
74,OTHER,DOWN,2017-05-16 17:08:41.233,59
75,OTHER,UP,2017-05-16 17:08:41.353,59
76,OTHER,DOWN,2017-05-16 17:08:41.412,59
77,OTHER,UP,2017-05-16 17:08:41.510,59
78,OTHER,DOWN,2017-05-16 17:08:41.631,59
79,OTHER,UP,2017-05-16 17:08:41.725,59
80,OTHER,DOWN,2017-05-16 17:08:41.796,59
81,OTHER,UP,2017-05-16 17:08:41.893,59
82,OTHER,DOWN,2017-05-16 17:08:42.017,59
83,OTHER,UP,2017-05-16 17:08:42.131,59
84, ,DOWN,2017-05-16 17:08:42.487,59
85, ,UP,2017-05-16 17:08:42.573,59
86,t,DOWN,2017-05-16 17:08:42.972,59
87,t,UP,2017-05-16 17:08:43.080,59
88,o,DOWN,2017-05-16 17:08:43.104,59
89,o,UP,2017-05-16 17:08:43.245,59
90, ,DOWN,2017-05-16 17:08:43.390,59
91, ,UP,2017-05-16 17:08:43.490,59
92,s,DOWN,2017-05-16 17:08:44.198,59
93,s,UP,2017-05-16 17:08:44.270,59
94,e,DOWN,2017-05-16 17:08:44.402,59
95,e,UP,2017-05-16 17:08:44.498,59
96,e,DOWN,2017-05-16 17:08:44.568,59
97,e,UP,2017-05-16 17:08:44.666,59
98, ,DOWN,2017-05-16 17:08:44.929,59
99, ,UP,2017-05-16 17:08:45.039,59
100,i,DOWN,2017-05-16 17:08:45.565,59
101,i,UP,2017-05-16 17:08:45.675,59
102,f,DOWN,2017-05-16 17:08:46.053,59
103,f,UP,2017-05-16 17:08:46.150,59
104,v,DOWN,2017-05-16 17:08:46.292,59
105,v,UP,2017-05-16 17:08:46.414,59
106,t,DOWN,2017-05-16 17:08:47.289,59
107,t,UP,2017-05-16 17:08:47.411,59
108,h,DOWN,2017-05-16 17:08:47.532,59
109,h,UP,2017-05-16 17:08:47.639,59
110,e,DOWN,2017-05-16 17:08:47.713,59
111,e,UP,2017-05-16 17:08:47.819,59
112,b,DOWN,2017-05-16 17:08:47.819,59
113,b,UP,2017-05-16 17:08:47.914,59
114,OTHER,DOWN,2017-05-16 17:08:48.340,59
115,OTHER,UP,2017-05-16 17:08:48.459,59
116,OTHER,DOWN,2017-05-16 17:08:48.518,59
117,OTHER,UP,2017-05-16 17:08:48.627,59
118,OTHER,DOWN,2017-05-16 17:08:48.722,59
119,OTHER,UP,2017-05-16 17:08:48.830,59
120,OTHER,DOWN,2017-05-16 17:08:48.913,59
121,OTHER,UP,2017-05-16 17:08:48.986,59
122,OTHER,DOWN,2017-05-16 17:08:49.069,59
123,OTHER,UP,2017-05-16 17:08:49.165,59
124, ,DOWN,2017-05-16 17:08:49.452,59
125, ,UP,2017-05-16 17:08:49.562,59
126,t,DOWN,2017-05-16 17:08:49.787,59
127,t,UP,2017-05-16 17:08:49.896,59
128,h,DOWN,2017-05-16 17:08:50.016,59
129,h,UP,2017-05-16 17:08:50.124,59
130,e,DOWN,2017-05-16 17:08:50.124,59
131,e,UP,2017-05-16 17:08:50.244,59
132,v,DOWN,2017-05-16 17:08:50.262,59
133,v,UP,2017-05-16 17:08:50.363,59
134,l,DOWN,2017-05-16 17:08:50.878,59
135,l,UP,2017-05-16 17:08:50.987,59
136, ,DOWN,2017-05-16 17:08:51.214,59
137, ,UP,2017-05-16 17:08:51.289,59
138,OTHER,DOWN,2017-05-16 17:08:51.766,59
